English,French
I think the rumor is true.,Je pense que la rumeur est vraie.
Just the moment., Juste le moment.
Don't tell me to go home.,Ne me dites pas d'aller chez moi !
Aren't you feeling well?,Tu ne te sens pas bien ?
Read this.,Lis ceci.
What do you think I did?,Que pensez-vous que j'aie fait ?
Are we still connected?, Sommes-nous toujours connectés?
I am still here!, Je suis toujours là!
I don't have the number.,Je n'ai pas le numéro.
This just happened to me.,Ça vient de m'arriver.
I'm a photographer.,Je suis photographe.
Why do you call me that?,Pourquoi m'appelez-vous comme cela ?
I will not disconnect., Je ne vais pas me déconnecter.
He raised his hands.,Il leva les mains.
I'm sorry for the misunderstanding., Je suis désolé pour ce malentendu.
The weather is good today.,Il fait beau aujourd'hui.
I don't blame you.,Je ne te le reproche pas.
Have you tried this?,Avez-vous essayé ceci ?
He walks fast.,Il marche vite.
The dog is dying.,Le chien est en train de mourir.
Dates/Times, Dates / heures
Sure. I can assist you with that., Sûr. Je peux vous aider.
You're reading my mind.,Vous lisez mes pensées.
Give us a moment.,Donne-nous un moment.
Open the door.,Ouvrez la porte !
You're very wise.,Vous êtes très sages.
I met him three years ago.,J'ai fait sa connaissance il y a trois ans.
I must get going.,Il faut que j'y aille.
They made him work.,Elles le firent travailler.
Select booking, Sélectionnez la réservation
Not everyone can be a poet.,Tout le monde ne peut pas être poète.
Look here.,Regarde ici.
"Hello, This is Yara how can I help?"," Bonjour, Voici Yara, comment puis-je aider?"
I was fired.,J'ai été viré.
Try with different email, Essayez avec différents e-mails
Are you sure that's enough?,Es-tu sûr que cela sera suffisant ?
(Your chat session has ended), (Votre session de chat est terminée)
Let me help you to confirm your reservation. , Permettez-moi de vous aider à confirmer votre réservation.
I don't want to offend you.,Je ne veux pas vous offusquer.
Stay with us.,Restez avec nous.
"If you want to go, then go.","Si tu veux y aller, vas-y !"
I'd like to be your friend.,J'aimerais être ton ami.
You're so naive.,Tu es si naïf.
I didn't have much time.,Je n'ai pas eu beaucoup de temps.
I need you here.,J'ai besoin de vous ici.
Ok I'll check those dates., Ok je vais vérifier ces dates.
Thanks!, Merci!
Tom is cruel.,Tom est cruel.
It looks a little heavy.,Ça semble un peu lourd.
You're most welcome., Je vous en prie.
It's not my style.,Ce n'est pas mon style.
Can I have the itinerary number?, Puis-je avoir le numéro d'itinéraire?
I forget your phone number.,J'oublie votre numéro de téléphone.
You can try to call the hotel or bank to check. , Vous pouvez essayer d'appeler l'hôtel ou la banque pour vérifier.
I was in charge.,C'était moi le responsable.
Would you open the door?,Pourriez-vous ouvrir la porte ?
What do you advise?,Que conseillez-vous ?
thank you for your time, Merci pour votre temps
Why do I have to do that?,Pourquoi est-ce que je dois faire cela ?
You're very funny.,Vous êtes très marrants.
We have two ears.,Nous avons deux oreilles.
It was a huge explosion.,C'était une énorme explosion.
They like to stay informed.,Ils aiment se tenir informés.
I slept on a park bench.,J'ai dormi sur un banc dans un parc.
Give me 3-5 mins. , Donnez-moi 3-5 minutes.
You're too loud.,Vous êtes trop bruyant.
You nearly died.,Tu es presque mort.
I think Tom will tell you.,Je pense que Tom te le dira.
I fixed it.,Je l'ai réparé.
He will not listen to me.,Il ne va pas m'écouter.
Rest is important.,Le repos est important.
Don't be silly.,Ne sois pas stupide.
Anybody hurt?,Qui que ce soit est-il blessé ?
He is playing in his room.,Il est en train de jouer dans sa chambre.
Tom was cheerful.,Tom était de bonne humeur.
We had fun with it.,Nous nous en sommes amusées.
It's not here.,Ce n'est pas ici.
now, maintenant
I'll go and get you some.,J'irai et t'en prendrai.
?, ?
What a cute little girl!,Quelle jolie petite fille !
How about about the phone number?, Et le numéro de téléphone?
Let Tom decide.,Laisse Tom décider.
Who knows you have this?,Qui sait que vous avez ceci ?
What did I miss?,Qu'ai-je loupé ?
We don't have any other option., Nous n'avons pas d'autre option.
Tom sipped some coffee.,Tom sirota du café.
Can you do it in one day?,Pouvez-vous le faire en une journée ?
We're exhausted.,Nous sommes épuisées.
How can I help you with?, Comment puis-je vous aider?
It's almost impossible.,C'est presque impossible.
Tom has three secretaries.,Tom a trois secrétaires.
Tom can't paint.,Tom ne sait pas peindre.
Thank you ♥, Merci ♥
Stop acting like a baby.,Arrêtez de vous conduire comme un bébé !
You can't go yet.,Vous ne pouvez pas encore partir.
Sure! Thanks! Calling them now., Sûr! Merci! Je les appelle maintenant.
Be creative.,Sois créative !
Everything I said was true.,Tout ce que j'ai dit était vrai.
I thought hard.,J'y ai pensé très fort.
I felt wonderful.,Je me suis sentie très bien.
Please stay on the chat., Veuillez rester sur le chat.
Wanna update every two mins or when done?, Voulez-vous mettre à jour toutes les deux minutes ou une fois terminé?
Tom gave me some money.,Tom m'a donné de l'argent.
He keeps this gun loaded.,Il garde ce pistolet chargé.
Our house faces the beach.,Notre maison est face à la plage.
We should have no trouble.,Nous ne devrions avoir aucun souci.
You're welcome. , De rien.
That's right. , C'est vrai.
How's your family?,Comment va ta famille ?
Please be honest.,Je vous prie d'être honnête !
I think we've met before.,Je pense que nous nous sommes déjà rencontrés.
Which eye is hurting you?,Quel œil te fait mal ?
I'll recommend it.,Je le recommanderai.
He looks after us.,Il s'occupe de nous.
I'll never stop.,Je ne cesserai jamais.
"Hurry up, girls.","Magnez-vous, les filles !"
"Hi, this is Bea. How may I help you?  "," Salut, c'est Bea. Comment puis-je vous aider?"
Be seated.,Assieds-toi !
How is the weather?,Comment est le temps ?
I can't allow this.,Je ne peux pas permettre ça.
We drove across the city.,Nous roulâmes à travers la ville.
I see you made this reservation today.,Je vois que vous avez fait cette réservation aujourd'hui.
6476755828,6476755828
Who do you trust?,En qui as-tu confiance ?
Hello!, salut!
I need a taxi.,Il me faut un taxi.
Why did I do that?,Pourquoi ai-je fait cela ?
The parrot is dead.,Le perroquet est mort.
How many people were there?,Combien de gens étaient là ?
How did you get the idea?,Comment as-tu eu l'idée ?
It was necessary.,C'était nécessaire.
He did not put up his hand.,Il n'a pas levé sa main.
How much am I paying you?,Combien est-ce que je te paye ?
I love music.,J'aime beaucoup la musique.
6077614472,6077614472
Did you shoot Tom?,As-tu tiré sur Tom ?
Follow the rules.,Suis les règles !
Could you lend me a hand?,Pourrais-tu me prêter main forte ?
I wonder if you'd help us.,Je me demande si tu nous aiderais.
I'll help you today., Je t'aiderai aujourd'hui.
"In two days, I'll turn 13.","Dans deux jours, j'aurai treize ans."
Don't gloat.,Ne jubilez pas !
Rome wasn't built in a day.,Rome ne s'est pas faite en un jour.
I was at home.,J'étais chez moi.
We're all students.,Nous sommes toutes étudiantes.
That's fine Evan. , C'est bien Evan.
Tom didn't look very well.,Tom n'avait pas l'air très en forme.
She looked after the child.,Elle prit soin de l'enfant.
8327467627,8327467627
I'm really tired.,Je suis vraiment fatigué.
Thank you so much!, Merci beaucoup!
That would embarrass Tom.,Cela embarrasserait Tom.
"No, the Chase itinerary number"," Non, le numéro de l'itinéraire Chase"
Don't count on them.,Ne comptez pas sur eux.
She displayed her talents.,Elle a fait montre de ses talents.
I want to stretch my legs.,Je veux détendre mes jambes.
Are we still connected?, Sommes-nous toujours connectés?
Stop changing the subject.,Arrête de changer de sujet !
Thank you., Je vous remercie.
 It is done., C'est fait.
I really do need your help.,J'ai vraiment besoin de ton aide.
"Okay, let me check."," D'accord, laissez-moi vérifier."
You're welcome., De rien.
He's rich.,Il est riche.
I like this answer.,J'apprécie cette réponse.
I should've studied more.,J'aurais dû étudier davantage.
I feel like waiting.,J'ai envie d'attendre.
The boy almost drowned.,Le garçon s'est presque noyé.
This house is abandoned.,Cette demeure est abandonnée.
I have allergies.,Je suis sujette à des allergies.
It was a pleasure to help., Ce fut un plaisir d'aider.
We want to be the best.,Nous voulons être les meilleures.
Tell me why she is crying.,Dites-moi pourquoi elle pleure.
Are you in a hurry?,Est-ce que vous êtes pressé ?
7.44E+12, 7.44441E + 12
Here we are!,Nous y voilà !
You're sad.,Vous êtes triste.
I worry about him.,Je me fais du souci à son sujet.
They're spies.,Ce sont des espions.
He's really in good shape.,Il est vraiment en bonne forme.
He'll be back soon.,Il sera bientôt de retour.
"Oh, I'm terribly sorry.",Je suis vraiment désolé.
I did as I was told.,J'ai fait ce qu'on m'a dit.
He visited a friend.,Il a rendu visite à un ami.
What was in it for you?,Qu'y trouviez-vous ?
Yes , Oui
Don't you want to know why?,Ne veux-tu pas savoir pourquoi ?
He was among those chosen.,Il faisait partie de ceux qui ont été choisis.
I lit the candles.,J'ai allumé les bougies.
Thank you for waiting!, Merci pour l'attente!
Still with me?, Encore avec moi?
How can I help you today?, Comment puis-je vous aider aujourd'hui?
Hi, salut
We'll attend.,Nous y assisterons.
"Hello there, Terry."," Bonjour, Terry."
Thank you for waiting., Merci pour l'attente.
"June 12th, I'm sorry."," Le 12 juin, je suis désolé."
See you tomorrow at school.,"À demain, à l'école."
It looks good.,Ça a l'air bien.
Are you happy doing that?,Êtes-vous heureuse de faire cela ?
So what's your problem?,Alors quel est ton problème ?
"Sure, what is the email address on your account?  "," Bien sûr, quelle est l'adresse e-mail de votre compte?"
Can we leave?,Pouvons-nous partir ?
You have chosen the best.,Tu as choisi la meilleure.
They know what happened.,Ils savent ce qui a eu lieu.
I don't like the coffee.,Je n'aime pas le café.
You are my father.,Tu es mon père.
Please tell Tom I'm sorry.,"Dites à Tom que je suis désolée, s'il vous plaît."
Tom loves potatoes.,Tom adore les pommes de terre.
I lay on my bed.,Je me suis allongé sur mon lit.
Are you feeling OK?,Vous vous sentez bien ?
I need a more detailed map.,J'ai besoin d'une carte plus détaillée.
My girlfriend is crying.,Ma copine est en train de pleurer.
The dog is dead.,Le chien est mort.
I question your loyalty.,Je mets ta loyauté en doute.
I just kept my mouth shut.,Je me suis simplement tue.
Do you still want to continue this chat?, Voulez-vous toujours continuer ce chat?
Timing is very important.,Le minutage est très important.
He's not breaking the law.,Il n'enfreint pas la loi.
I'm the oldest one here.,Je suis le plus vieux ici.
They will be safe with her.,Elles seront en sécurité avec elle.
It's a fad.,C'est un phénomène de mode.
Better him than me.,Plutôt lui que moi.
"Hi, glad to help w/ change."," Salut, heureux d'aider / changer."
She didn't show up.,Elle ne s'est pas montrée.
I feel normal.,Je me sens normal.
Yes , Oui
Thanks for the info. , Merci pour l'info.
She is much taller than me.,Elle est bien plus grande que moi.
Are you still there?, Tu es encore la?
Where will your party be?,Où se passera ta fête?
I feel cold.,J'ai froid.
He had fun with it.,Il s'en est amusé.
It was working.,Il fonctionnait.
"Thank you so much for holding, "," Merci beaucoup d'avoir tenu,"
I need your advice.,J’ai besoin de ton conseil.
What did the front desk advise you to do?, Que vous a conseillé la réception?
Which book do you need?,De quel livre as-tu besoin ?
You don't even know how.,Vous ne savez même pas comment.
I live here with my dog.,Je vis ici avec mon chien.
He loves trains.,Il adore les trains.
Are you there?, Êtes-vous là?
He died last year.,Il est mort l'année dernière.
She went home.,Elle est rentrée chez elle.
That was amazing.,C'était super.
You're not being rational.,Vous n'êtes pas rationnelle.
It was just a coincidence.,C'était juste une coïncidence.
I wasn't drunk.,Je n'étais pas saoul.
They don't know me there.,"Elles ne me connaissent pas, là."
"Alright, thank you so much."," D'accord, merci beaucoup."
When should I come again?,Quand devrais-je revenir?
You said it was important.,Tu as dit que c'était important.
This is on sale.,C'est en promo.
Are we still connected?, Sommes-nous toujours connectés?
I didn't hear you come in.,Je ne vous ai pas entendu entrer.
Are you ready to go?,Êtes-vous prêt à y aller ?
We've been busy.,Nous avons été occupés.
You didn't get very far.,Vous n'êtes pas allé très loin.
I respect you.,Je te respecte.
We need an answer.,On a besoin d'une réponse.
I think of you as a friend.,Je pense à toi en tant qu'amie.
Thanks. Please stay connected., Merci. Veuillez rester connecté.
Hi! My name is Mariz. What's yours?, Salut! Je m'appelle Mariz. Quel est ton?
They have twin daughters.,Ils ont des jumelles.
I'm here., Je suis ici.
I feel feverish.,Je me sens fiévreux.
